1,하돈곽,1,1,1
2,허의돈,1,1,2
3,박대우,1,1,3
4,강필의,1,1,4
5,강쌍필,1,1,5
6,권쌍중,1,1,6
7,하곽돈,1,1,7
8,박쌍석,1,1,8
9,박돈곽,1,1,9
10,하의석,1,1,10
11,박석석,1,2,1
12,허곽석,1,2,2
13,박곽석,1,2,3
14,박중필,1,2,4
15,하필철,1,2,5
16,허쌍대,1,2,6
17,강쌍곽,1,2,7
18,허중돈,1,2,8
19,하쌍철,1,2,9
20,강대우,1,2,10
21,권의곽,1,3,1
22,강돈철,1,3,2
23,허곽쌍,1,3,3
24,허대쌍,1,3,4
25,허필대,1,3,5
26,박쌍돈,1,3,6
27,허돈필,1,3,7
28,허쌍철,1,3,8
29,허철중,1,3,9
30,허쌍돈,1,3,10
31,권중우,1,4,1
32,박철쌍,1,4,2
33,박대돈,1,4,3
34,권곽곽,1,4,4
35,강우쌍,1,4,5
36,권우철,1,4,6
37,박석철,1,4,7
38,권철돈,1,4,8
39,권돈중,1,4,9
40,강필석,1,4,10
41,허석중,1,5,1
42,강우석,1,5,2
43,권철우,1,5,3
44,강쌍돈,1,5,4
45,권우우,1,5,5
46,강철돈,1,5,6
47,허곽쌍,1,5,7
48,강우돈,1,5,8
49,하석곽,1,5,9
50,박돈중,1,5,10
51,허의석,2,1,1
52,권돈쌍,2,1,2
53,허중쌍,2,1,3
54,권석쌍,2,1,4
55,하우필,2,1,5
56,하중대,2,1,6
57,하돈중,2,1,7
58,하돈필,2,1,8
59,권곽중,2,1,9
60,강중의,2,1,10
61,박쌍우,2,2,1
62,허중철,2,2,2
63,강우우,2,2,3
64,강철의,2,2,4
65,권의중,2,2,5
66,권중돈,2,2,6
67,강필대,2,2,7
68,허석철,2,2,8
69,허쌍필,2,2,9
70,하석우,2,2,10
71,허중필,2,3,1
72,권우우,2,3,2
73,권철의,2,3,3
74,강필돈,2,3,4
75,박쌍쌍,2,3,5
76,박필돈,2,3,6
77,허철쌍,2,3,7
78,하석곽,2,3,8
79,강석석,2,3,9
80,강석돈,2,3,10
81,허돈필,2,4,1
82,허중필,2,4,2
83,강우철,2,4,3
84,허의우,2,4,4
85,강중대,2,4,5
86,강곽곽,2,4,6
87,권우우,2,4,7
88,박철우,2,4,8
89,박곽철,2,4,9
90,박돈석,2,4,10
91,박철의,2,5,1
92,박쌍돈,2,5,2
93,박필의,2,5,3
94,박석우,2,5,4
95,강석우,2,5,5
96,강석쌍,2,5,6
97,허쌍돈,2,5,7
98,권의곽,2,5,8
99,권곽철,2,5,9
100,강돈곽,2,5,10
101,강대곽,3,1,1
102,허쌍대,3,1,2
103,박필곽,3,1,3
104,권의곽,3,1,4
105,박곽중,3,1,5
106,박의돈,3,1,6
107,허중의,3,1,7
108,허중중,3,1,8
109,하필쌍,3,1,9
110,권돈철,3,1,10
111,하우쌍,3,2,1
112,권중곽,3,2,2
113,권대필,3,2,3
114,허중중,3,2,4
115,박필곽,3,2,5
116,하철철,3,2,6
117,권대철,3,2,7
118,박대우,3,2,8
119,권대곽,3,2,9
120,허필쌍,3,2,10
121,박석대,3,3,1
122,박곽우,3,3,2
123,강쌍우,3,3,3
124,강중곽,3,3,4
125,박필돈,3,3,5
126,권곽쌍,3,3,6
127,하우우,3,3,7
128,박곽필,3,3,8
129,하쌍대,3,3,9
130,허우우,3,3,10
131,권쌍쌍,3,4,1
132,강대우,3,4,2
133,하우석,3,4,3
134,하필석,3,4,4
135,강돈쌍,3,4,5
136,하대대,3,4,6
137,박중석,3,4,7
138,강돈쌍,3,4,8
139,강필중,3,4,9
140,하우의,3,4,10
141,박곽철,3,5,1
142,권철우,3,5,2
143,권우우,3,5,3
144,권필필,3,5,4
145,박중철,3,5,5
146,박의필,3,5,6
147,박철의,3,5,7
148,권쌍우,3,5,8
149,박곽우,3,5,9
150,허우철,3,5,10
